[00:33:31.268] DEBUG   loaded: cube.obj
[00:33:31.292] DEBUG   vertices: 8
[00:33:31.320] DEBUG   textureCoordinates: 6
[00:33:31.328] DEBUG   normals: 6
[00:33:31.333] DEBUG   parameterSpaceVertices: 0
[00:33:31.341] DEBUG   faceDefinitions: 24
[00:33:31.368] DEBUG   DirectInputDeviceFactory: Initialised factory
[00:33:31.416] DEBUG   DirectInputDeviceFactory: Created mouse
[00:33:31.421] INFO    InputDevice::Mouse: Initialisation successful.
[00:33:31.439] DEBUG   DirectInputDeviceFactory: Created keyboard
[00:33:31.451] INFO    InputDevice::Keyboard: Initialisation successful.
[00:33:31.464] INFO    InputManager: Window added, devices initialized.
[00:33:31.481] DEBUG   DirectInputDeviceFactory: Created mouse
[00:33:31.489] INFO    InputDevice::Mouse: Initialisation successful.
[00:33:31.500] DEBUG   DirectInputDeviceFactory: Created keyboard
[00:33:31.506] INFO    InputDevice::Keyboard: Initialisation successful.
[00:33:31.514] INFO    InputManager: Window added, devices initialized.
